Nome,Streaming,Url
HERO MASK,netflix,http://www.netflix.com/title/80200027
HERO MASK part II,netflix,http://www.netflix.com/title/80200027
ID-0,netflix,http://www.netflix.com/title/80174918
Aggretsuko: We Wish You A Metal Christmas,netflix,http://www.netflix.com/title/81008536
Dragon Pilot: Hisone & Masotan,netflix,http://www.netflix.com/title/80241960
Saint Seiya: The Lost Canvas,"primevideo,max,crunchyroll","https://app.primevideo.com/detail?gti=amzn1.dv.gti.3ab5f36c-275a-7fd1-b84b-19615df1b3af,https://play.max.com/show/170d9f3a-e8a3-44de-bcf8-71d05d568a34,https://www.crunchyroll.com/pt-br/series/G65VP49P6/saint-seiya-the-lost-canvas"
Saint Seiya: The Lost Canvas 2,"primevideo,max,crunchyroll","https://app.primevideo.com/detail?gti=amzn1.dv.gti.68b6d8db-30b8-f7ff-2423-7af6abda946b,https://play.max.com/show/170d9f3a-e8a3-44de-bcf8-71d05d568a34,https://www.crunchyroll.com/pt-br/series/G65VP49P6/saint-seiya-the-lost-canvas"
Saint Seiya: LEGEND of SANCTUARY,"primevideo,max","https://www.primevideo.com/detail/0PH9LZP0SYZTH809FY9Q17Z34I/,https://play.max.com/movie/4290dd0f-8cd7-4454-a0df-cbfd92a12b41"
Weathering With You,"primevideo,max","https://app.primevideo.com/detail?gti=amzn1.dv.gti.92bb5b5d-a25a-f727-f449-380832d9a07a,https://play.max.com/movie/87cba30c-2349-4276-95c1-011ade9eaff3"
Dororo,primevideo,https://app.primevideo.com/detail?gti=amzn1.dv.gti.14b411e0-ccef-2642-8608-ee471cb2fbd1
Inazuma Eleven,primevideo,https://app.primevideo.com/detail?gti=amzn1.dv.gti.4cb54f32-7456-0391-3456-112c9f88fbe6
Inazuma Eleven: Saikyou Gundan Ogre Shuurai,primevideo,https://www.primevideo.com/detail/0Q7JL3SX7SALW70D0IPNMNJRRX/
Street Fighter II V,primevideo,https://app.primevideo.com/detail?gti=amzn1.dv.gti.a2b66a0d-0511-f23e-d236-845d00f5896a
Street Fighter Alpha,primevideo,https://www.primevideo.com/detail/0ND9HEDT12DMFXZ0NM7RK8LEZJ/
High School of the Dead,primevideo,https://app.primevideo.com/detail?gti=amzn1.dv.gti.42dfc1ae-4877-4ef8-82e3-751f3bf1e088
Beyblade,primevideo,https://app.primevideo.com/detail?gti=amzn1.dv.gti.edb457da-947b-4b3a-87f9-d0a01d0ba82a
Beyblade V-Force,primevideo,https://app.primevideo.com/detail?gti=amzn1.dv.gti.ff24ff5c-9162-4e33-8b9b-4c6d440045ba
Beyblade G Revolution,primevideo,https://app.primevideo.com/detail?gti=amzn1.dv.gti.25e28165-e876-4def-8223-e79880497050
Captain Tsubasa,primevideo,https://app.primevideo.com/detail?gti=amzn1.dv.gti.393f173c-867d-47cd-b08d-c273aea52556
INUYASHIKI LAST HERO,"primevideo,crunchyroll","https://app.primevideo.com/detail?gti=amzn1.dv.gti.1aaf83c1-1aca-5910-2e10-83c7df414fd2,https://www.crunchyroll.com/pt-br/series/G8DHV7E9Q/inuyashiki-last-hero"
BANANA FISH,primevideo,https://app.primevideo.com/detail?gti=amzn1.dv.gti.7cb23492-1c4f-6349-0b84-ac064288e062
Evangelion: 2.0 You Can (Not) Advance,primevideo,https://app.primevideo.com/detail?gti=amzn1.dv.gti.16bb13fa-9fa6-f959-a23b-451385d7c5af
Captain Tsubasa (2018),"primevideo,crunchyroll","https://app.primevideo.com/detail?gti=amzn1.dv.gti.64b96153-e0e5-92c9-79b9-6bce2f31c475,https://www.crunchyroll.com/pt-br/series/GZJH3D7G9/captain-tsubasa"
Evangelion: 3.0 You Can (Not) Redo,primevideo,https://app.primevideo.com/detail?gti=amzn1.dv.gti.5ebb13fa-46fc-2060-26ed-2701c8760bd7
Karakuri Circus,primevideo,https://app.primevideo.com/detail?gti=amzn1.dv.gti.a2b32f8a-c5df-4399-c3b8-3972bc6548f5
Inazuma Eleven Ares,primevideo,https://app.primevideo.com/detail?gti=amzn1.dv.gti.d3d88da2-888c-444b-bfe2-5516f5c42ce0
Mazinger Z: INFINITY,"primevideo,max","https://app.primevideo.com/detail?gti=amzn1.dv.gti.90129a4d-1ed8-42ae-97cd-1524100ee302,https://play.max.com/movie/7fb579f7-5935-4f9a-80d0-f6fe844ef300"
The Relative Worlds,"primevideo,max","https://app.primevideo.com/detail?gti=amzn1.dv.gti.ddbb447f-f344-45d8-b9c8-5cea1e0d02a7,https://play.max.com/movie/e997d9a1-d2eb-4c05-b06f-804d4735d675"
Ghost in the Shell: The New Movie,"primevideo,max","https://app.primevideo.com/detail?gti=amzn1.dv.gti.5daaa3a2-f7be-4499-a880-1bf7618efe34,https://play.max.com/movie/5b4dc4b2-124a-4a65-ae8f-9bac6bf0d2eb"
Ghost in the Shell: Arise - Border:1 Ghost Pain,"primevideo,max","https://app.primevideo.com/detail?gti=amzn1.dv.gti.0a86f502-ba67-4650-a8d6-81432155e271,https://play.max.com/movie/f6905ccd-086f-48d8-8e51-4df53f9cf7da"
Fireworks,primevideo,https://app.primevideo.com/detail?gti=amzn1.dv.gti.29dd4ec6-df88-4e66-aef6-327496a2ce6e
The Boy and The Beast,"primevideo,max","https://app.primevideo.com/detail?gti=amzn1.dv.gti.a6122357-902c-4ea7-a2da-abf85db3eeb7,https://play.max.com/movie/7a25d8c8-4aa9-4145-acc6-3c8b5b23e033"
Magic Knight Rayearth,"primevideo,crunchyroll","https://app.primevideo.com/detail?gti=amzn1.dv.gti.d8ba752f-32f0-004b-e367-2d6c1cc919cb,https://www.crunchyroll.com/pt-br/series/G1XHJV270/magic-knight-rayearth"
